trial_id,cycle,y
1,1,2.817770151844735e-4
1,2,2.843274343878996e-4
1,3,2.8482149745781614e-4
1,4,2.9046425045615916e-4
1,5,2.8180851892366856e-4
1,6,2.8708130015695627e-4
1,7,2.817764551898421e-4
1,8,2.8447859261025526e-4
1,9,2.864828415997165e-4
1,10,2.828365431401756e-4
1,11,2.7845921122421184e-4
1,12,2.8317558265175766e-4
1,13,2.820255146442818e-4
1,14,2.8276881131504095e-4
1,15,2.802625967811717e-4
1,16,2.8801819462335673e-4
1,17,2.7521265770096915e-4
1,18,2.8295314778148937e-4
1,19,2.7888382056461084e-4
1,20,2.8186259298910754e-4
1,21,2.7928207778591004e-4
1,22,2.7798435980909056e-4
1,23,2.783907163215888e-4
1,24,2.7506155967747125e-4
1,25,2.7220726929320314e-4
1,26,2.750549309579353e-4
1,27,2.7027690261017043e-4
1,28,2.7354416867530264e-4
1,29,2.699286487111389e-4
1,30,2.695692172469262e-4
1,31,2.7051080439573417e-4
1,32,2.7185800377221e-4
1,33,2.714532502484395e-4
1,34,2.672377854479924e-4
1,35,2.6609208188940276e-4
1,36,2.679796696260862e-4
1,37,2.63666470008144e-4
1,38,2.6227413588875967e-4
1,39,2.6315949939335507e-4
2,1,3.5165751888029936e-4
2,2,3.499811060220436e-4
2,3,3.53178039776947e-4
2,4,3.4724137507673413e-4
2,5,3.5015792310107917e-4
2,6,3.4818993358176435e-4
2,7,3.4786190798630976e-4
2,8,3.4801439727754144e-4
2,9,3.449777025189195e-4
2,10,3.4841517789371704e-4
2,11,3.4358593338986484e-4
2,12,3.4747361718047995e-4
2,13,3.470596229809809e-4
2,14,3.4092402656731296e-4
2,15,3.437847858500925e-4
2,16,3.419067583100217e-4
2,17,3.4079494181682543e-4
2,18,3.391039383813982e-4
2,19,3.398408525819535e-4
2,20,3.4116808364606125e-4
2,21,3.377075894024948e-4
2,22,3.320125383016519e-4
2,23,3.3208830516020973e-4
2,24,3.2944916660193775e-4
2,25,3.284336156414333e-4
2,26,3.338286469703643e-4
2,27,3.253741030125182e-4
2,28,3.241842837300743e-4
2,29,3.276143794621693e-4
2,30,3.264467605066048e-4
2,31,3.2503398615631786e-4
2,32,3.2197525133475987e-4
2,33,3.13056403706844e-4
2,34,3.169076250655525e-4
2,35,3.142586748294878e-4
2,36,3.153310387403441e-4
2,37,3.099875486443529e-4
2,38,3.0733878060816084e-4
2,39,3.0522610131797915e-4
2,40,3.039123341818582e-4
2,41,2.985582373142931e-4
2,42,2.9993323467937663e-4
2,43,2.9731685843719237e-4
2,44,2.9716808381437547e-4
2,45,2.915802093012436e-4
2,46,2.9059814189056347e-4
2,47,2.9353896028094323e-4
2,48,2.8477705900421173e-4
2,49,2.8812284258746847e-4
2,50,2.847298666802866e-4
2,51,2.8021695654597287e-4
2,52,2.792100104974574e-4
3,1,2.855938497548258e-4
3,2,2.8662088903481535e-4
3,3,2.85619587034109e-4
3,4,2.831041849055025e-4
3,5,2.798029066399432e-4
3,6,2.884148027464993e-4
3,7,2.819924579225794e-4
3,8,2.8555652513779e-4
3,9,2.853287030037532e-4
3,10,2.837056565071542e-4
3,11,2.867668765061648e-4
3,12,2.828187851175836e-4
3,13,2.8762725672340923e-4
3,14,2.8458489537111975e-4
3,15,2.7448532869775016e-4
3,16,2.798717112639069e-4
3,17,2.810391682439031e-4
3,18,2.809662056740844e-4
3,19,2.8059603049911076e-4
3,20,2.796695409250451e-4
3,21,2.7672945642259186e-4
3,22,2.7774078758125976e-4
3,23,2.730040555664261e-4
3,24,2.775922887532217e-4
3,25,2.7390679218263403e-4
3,26,2.7832187138163145e-4
3,27,2.711395095152029e-4
3,28,2.7207155739973697e-4
3,29,2.668000675181991e-4
3,30,2.760344556562842e-4
3,31,2.7225503036140155e-4
3,32,2.7025956100594e-4
3,33,2.6896732753258846e-4
3,34,2.7322260016698007e-4
3,35,2.670640030117893e-4
3,36,2.6758280008599235e-4
3,37,2.6667286080209537e-4
3,38,2.655196010510953e-4
4,1,3.520885379607261e-4
4,2,3.4970901587375036e-4
4,3,3.501971781017654e-4
4,4,3.4796475421610394e-4
4,5,3.500093763392916e-4
4,6,3.500084248358007e-4
4,7,3.5128652608969364e-4
4,8,3.507840007959886e-4
4,9,3.4550790960160627e-4
4,10,3.503570781881331e-4
4,11,3.45789369591836e-4
4,12,3.445388813983476e-4
4,13,3.442464329499502e-4
4,14,3.426893477775104e-4
4,15,3.392411570104777e-4
4,16,3.386231895937275e-4
4,17,3.3915745316809125e-4
4,18,3.3680911653033365e-4
4,19,3.379312488395526e-4
4,20,3.372206312896644e-4
4,21,3.348078939269188e-4
4,22,3.3916855933683096e-4
4,23,3.3080680492867076e-4
4,24,3.309995648088537e-4
4,25,3.321563940388302e-4
4,26,3.3536668498109596e-4
4,27,3.2989022318868574e-4
4,28,3.2718264410451254e-4
4,29,3.2372411015499613e-4
4,30,3.2340766670241095e-4
4,31,3.1657542266518815e-4
4,32,3.230644077868577e-4
4,33,3.189322865952618e-4
4,34,3.1598496653566704e-4
4,35,3.154368642541731e-4
4,36,3.106403081745891e-4
4,37,3.1159427535951855e-4
4,38,3.127124371212333e-4
4,39,2.9837539243228234e-4
4,40,3.069899246638715e-4
4,41,3.025398521741687e-4
4,42,3.004646476310566e-4
4,43,2.979349672735161e-4
4,44,2.9673993504018836e-4
4,45,2.9429661290360655e-4
4,46,2.8977344570166677e-4
4,47,2.89921331311368e-4
4,48,2.868912814532937e-4
4,49,2.8689962795159715e-4
4,50,2.870781066573651e-4
5,1,2.922537880996058e-4
5,2,2.883269511857956e-4
5,3,2.8555499401678353e-4
5,4,2.912484203776373e-4
5,5,2.902709359039573e-4
5,6,2.885395200236355e-4
5,7,2.8915726557660515e-4
5,8,2.959800278992725e-4
5,9,2.8946592607016053e-4
5,10,2.930860541003808e-4
5,11,2.896094869965687e-4
5,12,2.8647294315415023e-4
5,13,2.9119620180443636e-4
5,14,2.85914899780957e-4
5,15,2.847950575530699e-4
5,16,2.897726604769311e-4
5,17,2.873702858692037e-4
5,18,2.869785190509511e-4
5,19,2.8556535613333397e-4
